mass_A,,
t,x,y
0.033,-0.524,8.38E-02
0.067,-0.518,8.27E-02
0.1,-0.51,8.30E-02
0.133,-0.499,8.08E-02
0.167,-0.486,7.11E-02
0.2,-0.469,6.78E-02
0.233,-0.453,6.33E-02
0.267,-0.428,6.03E-02
0.3,-0.405,5.86E-02
0.333,-0.378,5.83E-02
0.367,-0.351,5.67E-02
0.4,-0.327,5.75E-02
0.433,-0.306,5.57E-02
0.467,-0.28,5.79E-02
0.5,-0.259,6.12E-02
0.533,-0.244,6.68E-02
0.567,-0.226,7.00E-02
0.6,-0.212,7.18E-02
0.633,-0.201,7.48E-02
0.667,-0.193,7.50E-02
0.7,-0.195,7.63E-02
0.733,-0.195,7.63E-02
0.767,-0.196,7.62E-02
0.8,-0.206,7.59E-02
0.833,-0.219,7.41E-02
0.867,-0.233,7.11E-02
0.9,-0.254,6.39E-02
0.933,-0.266,6.10E-02
0.967,-0.294,6.00E-02
1,-0.315,5.03E-02
1.033,-0.341,4.93E-02
1.067,-0.372,5.21E-02
1.1,-0.391,5.53E-02
1.133,-0.409,5.72E-02
1.167,-0.433,6.27E-02
1.2,-0.459,6.69E-02
1.233,-0.478,7.13E-02
1.268,-0.49,7.22E-02
1.302,-0.5,7.82E-02
1.335,-0.512,8.04E-02
1.368,-0.516,8.15E-02
1.402,-0.521,8.13E-02
1.435,-0.509,8.18E-02
1.468,-0.511,7.79E-02
1.502,-0.504,7.55E-02
1.535,-0.493,7.21E-02
1.568,-0.479,5.60E-02
1.602,-0.462,6.55E-02
1.635,-0.442,5.73E-02
1.668,-0.42,5.80E-02
1.702,-0.399,5.75E-02
1.735,-0.372,5.47E-02
1.768,-0.346,5.68E-02
1.802,-0.323,5.64E-02
1.835,-0.297,5.47E-02
1.868,-0.275,6.06E-02
1.902,-0.257,6.38E-02
1.935,-0.239,6.57E-02
1.968,-0.221,6.89E-02
2.002,-0.211,7.19E-02
2.035,-0.197,7.87E-02
2.068,-0.193,8.01E-02
2.102,-0.193,8.01E-02
2.135,-0.195,7.88E-02
2.168,-0.2,7.74E-02
2.202,-0.214,7.56E-02
2.235,-0.219,7.29E-02
2.268,-0.242,6.57E-02
2.302,-0.253,6.52E-02
2.335,-0.278,6.05E-02
2.368,-0.3,5.72E-02
2.402,-0.319,5.52E-02
2.435,-0.346,5.30E-02
2.468,-0.372,5.34E-02
2.502,-0.397,5.76E-02
2.535,-0.42,5.55E-02
2.568,-0.446,5.84E-02
2.602,-0.462,6.68E-02
2.635,-0.481,6.87E-02
2.668,-0.493,7.85E-02
2.702,-0.511,7.79E-02
2.735,-0.511,8.04E-02
2.768,-0.518,8.14E-02
2.802,-0.518,8.14E-02
2.835,-0.516,8.15E-02
2.868,-0.504,7.30E-02
2.902,-0.496,6.94E-02
2.935,-0.48,7.00E-02
2.968,-0.473,7.02E-02
3.002,-0.454,6.20E-02
3.035,-0.431,6.15E-02
3.068,-0.413,5.96E-02
3.102,-0.39,5.40E-02
3.135,-0.366,5.23E-02
3.168,-0.343,5.31E-02
3.202,-0.315,5.41E-02
3.235,-0.294,5.49E-02
3.268,-0.272,5.56E-02
3.302,-0.245,6.42E-02
3.335,-0.23,6.61E-02
3.368,-0.216,7.04E-02
3.402,-0.21,7.45E-02
3.435,-0.196,7.62E-02
3.468,-0.195,7.63E-02
3.502,-0.195,7.63E-02
3.535,-0.196,7.62E-02
3.57,-0.209,7.58E-02
3.603,-0.219,7.03E-02
3.637,-0.221,7.02E-02
3.67,-0.242,6.44E-02
3.703,-0.254,6.39E-02
3.737,-0.279,6.31E-02
3.77,-0.312,5.93E-02
3.803,-0.33,5.87E-02
3.837,-0.354,5.02E-02
3.87,-0.378,5.44E-02
3.903,-0.402,5.74E-02
3.937,-0.428,5.27E-02
3.97,-0.451,6.33E-02
4.003,-0.467,6.66E-02
4.037,-0.49,7.48E-02
4.07,-0.495,7.59E-02
4.103,-0.509,7.79E-02
4.137,-0.511,7.92E-02
4.17,-0.52,8.01E-02
4.203,-0.52,8.27E-02
